Epoch: [342/484] Iter:[0/2975], Time: 0.67, lr: [0.0033166426749413782], Loss: 0.463988
Epoch: [342/484] Iter:[10/2975], Time: 0.52, lr: [0.003316572016119259], Loss: 0.831642
Epoch: [342/484] Iter:[20/2975], Time: 0.52, lr: [0.0033165013571298764], Loss: 0.687757
Epoch: [342/484] Iter:[30/2975], Time: 0.51, lr: [0.0033164306979732256], Loss: 0.645823
Epoch: [342/484] Iter:[40/2975], Time: 0.51, lr: [0.003316360038649302], Loss: 0.620432
Epoch: [342/484] Iter:[50/2975], Time: 0.51, lr: [0.0033162893791581017], Loss: 0.780644
Epoch: [342/484] Iter:[60/2975], Time: 0.51, lr: [0.00331621871949962], Loss: 0.773007
Epoch: [342/484] Iter:[70/2975], Time: 0.51, lr: [0.003316148059673853], Loss: 0.754932
Epoch: [342/484] Iter:[80/2975], Time: 0.51, lr: [0.0033160773996807973], Loss: 0.742247
Epoch: [342/484] Iter:[90/2975], Time: 0.51, lr: [0.0033160067395204464], Loss: 0.792370
Epoch: [342/484] Iter:[100/2975], Time: 0.51, lr: [0.0033159360791927966], Loss: 0.755394
Epoch: [342/484] Iter:[110/2975], Time: 0.51, lr: [0.0033158654186978436], Loss: 0.737583
Epoch: [342/484] Iter:[120/2975], Time: 0.51, lr: [0.0033157947580355835], Loss: 0.757230
Epoch: [342/484] Iter:[130/2975], Time: 0.51, lr: [0.0033157240972060123], Loss: 0.729534
Epoch: [342/484] Iter:[140/2975], Time: 0.51, lr: [0.003315653436209124], Loss: 0.720693
Epoch: [342/484] Iter:[150/2975], Time: 0.51, lr: [0.003315582775044916], Loss: 0.701257
Epoch: [342/484] Iter:[160/2975], Time: 0.51, lr: [0.003315512113713383], Loss: 0.688190
Epoch: [342/484] Iter:[170/2975], Time: 0.51, lr: [0.003315441452214521], Loss: 0.670025
Epoch: [342/484] Iter:[180/2975], Time: 0.51, lr: [0.0033153707905483267], Loss: 0.684113
Epoch: [342/484] Iter:[190/2975], Time: 0.51, lr: [0.0033153001287147925], Loss: 0.691561
Epoch: [342/484] Iter:[200/2975], Time: 0.51, lr: [0.003315229466713917], Loss: 0.690584
Epoch: [342/484] Iter:[210/2975], Time: 0.51, lr: [0.0033151588045456947], Loss: 0.692505
Epoch: [342/484] Iter:[220/2975], Time: 0.51, lr: [0.003315088142210122], Loss: 0.676940
Epoch: [342/484] Iter:[230/2975], Time: 0.51, lr: [0.0033150174797071936], Loss: 0.665169
Epoch: [342/484] Iter:[240/2975], Time: 0.51, lr: [0.0033149468170369056], Loss: 0.663193
Epoch: [342/484] Iter:[250/2975], Time: 0.51, lr: [0.003314876154199253], Loss: 0.654551
Epoch: [342/484] Iter:[260/2975], Time: 0.51, lr: [0.0033148054911942334], Loss: 0.657384
Epoch: [342/484] Iter:[270/2975], Time: 0.51, lr: [0.0033147348280218396], Loss: 0.649263
Epoch: [342/484] Iter:[280/2975], Time: 0.51, lr: [0.0033146641646820706], Loss: 0.637689
Epoch: [342/484] Iter:[290/2975], Time: 0.51, lr: [0.0033145935011749195], Loss: 0.630344
Epoch: [342/484] Iter:[300/2975], Time: 0.51, lr: [0.003314522837500382], Loss: 0.623006
Epoch: [342/484] Iter:[310/2975], Time: 0.51, lr: [0.0033144521736584542], Loss: 0.613413
Epoch: [342/484] Iter:[320/2975], Time: 0.51, lr: [0.003314381509649132], Loss: 0.605958
Epoch: [342/484] Iter:[330/2975], Time: 0.51, lr: [0.0033143108454724113], Loss: 0.600917
Epoch: [342/484] Iter:[340/2975], Time: 0.51, lr: [0.003314240181128287], Loss: 0.600210
Epoch: [342/484] Iter:[350/2975], Time: 0.51, lr: [0.003314169516616755], Loss: 0.592812
Epoch: [342/484] Iter:[360/2975], Time: 0.51, lr: [0.0033140988519378112], Loss: 0.589583
Epoch: [342/484] Iter:[370/2975], Time: 0.51, lr: [0.0033140281870914505], Loss: 0.582292
Epoch: [342/484] Iter:[380/2975], Time: 0.51, lr: [0.003313957522077671], Loss: 0.575431
Epoch: [342/484] Iter:[390/2975], Time: 0.51, lr: [0.0033138868568964655], Loss: 0.579071
Epoch: [342/484] Iter:[400/2975], Time: 0.51, lr: [0.00331381619154783], Loss: 0.579336
Epoch: [342/484] Iter:[410/2975], Time: 0.51, lr: [0.0033137455260317606], Loss: 0.574116
Epoch: [342/484] Iter:[420/2975], Time: 0.51, lr: [0.003313674860348253], Loss: 0.575733
Epoch: [342/484] Iter:[430/2975], Time: 0.51, lr: [0.003313604194497303], Loss: 0.572165
Epoch: [342/484] Iter:[440/2975], Time: 0.51, lr: [0.0033135335284789065], Loss: 0.571754
Epoch: [342/484] Iter:[450/2975], Time: 0.51, lr: [0.0033134628622930587], Loss: 0.567699
Epoch: [342/484] Iter:[460/2975], Time: 0.51, lr: [0.003313392195939755], Loss: 0.570149
Epoch: [342/484] Iter:[470/2975], Time: 0.51, lr: [0.003313321529418992], Loss: 0.564733
Epoch: [342/484] Iter:[480/2975], Time: 0.51, lr: [0.0033132508627307647], Loss: 0.561630
Epoch: [342/484] Iter:[490/2975], Time: 0.51, lr: [0.003313180195875068], Loss: 0.563676
Epoch: [342/484] Iter:[500/2975], Time: 0.51, lr: [0.003313109528851898], Loss: 0.561717
Epoch: [342/484] Iter:[510/2975], Time: 0.51, lr: [0.003313038861661251], Loss: 0.557625
Epoch: [342/484] Iter:[520/2975], Time: 0.51, lr: [0.003312968194303122], Loss: 0.557498
Epoch: [342/484] Iter:[530/2975], Time: 0.51, lr: [0.003312897526777507], Loss: 0.557015
Epoch: [342/484] Iter:[540/2975], Time: 0.51, lr: [0.0033128268590844013], Loss: 0.552539
Epoch: [342/484] Iter:[550/2975], Time: 0.51, lr: [0.0033127561912238007], Loss: 0.557212
Epoch: [342/484] Iter:[560/2975], Time: 0.51, lr: [0.003312685523195701], Loss: 0.563996
Epoch: [342/484] Iter:[570/2975], Time: 0.51, lr: [0.0033126148550000974], Loss: 0.558755
Epoch: [342/484] Iter:[580/2975], Time: 0.51, lr: [0.0033125441866369873], Loss: 0.556665
Epoch: [342/484] Iter:[590/2975], Time: 0.51, lr: [0.003312473518106363], Loss: 0.554447
Epoch: [342/484] Iter:[600/2975], Time: 0.51, lr: [0.003312402849408222], Loss: 0.552987
Epoch: [342/484] Iter:[610/2975], Time: 0.51, lr: [0.0033123321805425604], Loss: 0.547803
Epoch: [342/484] Iter:[620/2975], Time: 0.51, lr: [0.003312261511509373], Loss: 0.547575
Epoch: [342/484] Iter:[630/2975], Time: 0.51, lr: [0.003312190842308656], Loss: 0.544067
Epoch: [342/484] Iter:[640/2975], Time: 0.51, lr: [0.003312120172940405], Loss: 0.543460
Epoch: [342/484] Iter:[650/2975], Time: 0.51, lr: [0.003312049503404615], Loss: 0.546889
Epoch: [342/484] Iter:[660/2975], Time: 0.51, lr: [0.0033119788337012818], Loss: 0.546457
Epoch: [342/484] Iter:[670/2975], Time: 0.51, lr: [0.0033119081638304016], Loss: 0.545546
Epoch: [342/484] Iter:[680/2975], Time: 0.51, lr: [0.003311837493791971], Loss: 0.542398
Epoch: [342/484] Iter:[690/2975], Time: 0.51, lr: [0.003311766823585983], Loss: 0.544972
Epoch: [342/484] Iter:[700/2975], Time: 0.51, lr: [0.0033116961532124348], Loss: 0.543303
Epoch: [342/484] Iter:[710/2975], Time: 0.51, lr: [0.0033116254826713216], Loss: 0.546613
Epoch: [342/484] Iter:[720/2975], Time: 0.51, lr: [0.0033115548119626395], Loss: 0.547990
Epoch: [342/484] Iter:[730/2975], Time: 0.51, lr: [0.0033114841410863834], Loss: 0.550467
Epoch: [342/484] Iter:[740/2975], Time: 0.51, lr: [0.003311413470042549], Loss: 0.548607
Epoch: [342/484] Iter:[750/2975], Time: 0.51, lr: [0.003311342798831133], Loss: 0.549269
Epoch: [342/484] Iter:[760/2975], Time: 0.51, lr: [0.00331127212745213], Loss: 0.546331
Epoch: [342/484] Iter:[770/2975], Time: 0.51, lr: [0.0033112014559055366], Loss: 0.548948
Epoch: [342/484] Iter:[780/2975], Time: 0.51, lr: [0.0033111307841913484], Loss: 0.546797
Epoch: [342/484] Iter:[790/2975], Time: 0.51, lr: [0.0033110601123095594], Loss: 0.542245
Epoch: [342/484] Iter:[800/2975], Time: 0.51, lr: [0.0033109894402601663], Loss: 0.539501
Epoch: [342/484] Iter:[810/2975], Time: 0.51, lr: [0.0033109187680431646], Loss: 0.538445
Epoch: [342/484] Iter:[820/2975], Time: 0.51, lr: [0.00331084809565855], Loss: 0.540511
Epoch: [342/484] Iter:[830/2975], Time: 0.51, lr: [0.003310777423106318], Loss: 0.539124
Epoch: [342/484] Iter:[840/2975], Time: 0.51, lr: [0.003310706750386465], Loss: 0.536854
Epoch: [342/484] Iter:[850/2975], Time: 0.51, lr: [0.003310636077498985], Loss: 0.535314
Epoch: [342/484] Iter:[860/2975], Time: 0.51, lr: [0.0033105654044438756], Loss: 0.532408
Epoch: [342/484] Iter:[870/2975], Time: 0.51, lr: [0.0033104947312211303], Loss: 0.530454
Epoch: [342/484] Iter:[880/2975], Time: 0.51, lr: [0.0033104240578307477], Loss: 0.528957
Epoch: [342/484] Iter:[890/2975], Time: 0.51, lr: [0.0033103533842727207], Loss: 0.529728
Epoch: [342/484] Iter:[900/2975], Time: 0.51, lr: [0.0033102827105470456], Loss: 0.526847
Epoch: [342/484] Iter:[910/2975], Time: 0.51, lr: [0.003310212036653718], Loss: 0.527396
Epoch: [342/484] Iter:[920/2975], Time: 0.51, lr: [0.003310141362592734], Loss: 0.524730
Epoch: [342/484] Iter:[930/2975], Time: 0.51, lr: [0.0033100706883640884], Loss: 0.526119
Epoch: [342/484] Iter:[940/2975], Time: 0.51, lr: [0.0033100000139677783], Loss: 0.523841
Epoch: [342/484] Iter:[950/2975], Time: 0.51, lr: [0.003309929339403798], Loss: 0.522907
Epoch: [342/484] Iter:[960/2975], Time: 0.51, lr: [0.0033098586646721434], Loss: 0.522568
Epoch: [342/484] Iter:[970/2975], Time: 0.51, lr: [0.0033097879897728113], Loss: 0.524731
Epoch: [342/484] Iter:[980/2975], Time: 0.51, lr: [0.003309717314705795], Loss: 0.525840
Epoch: [342/484] Iter:[990/2975], Time: 0.51, lr: [0.0033096466394710936], Loss: 0.523673
Epoch: [342/484] Iter:[1000/2975], Time: 0.52, lr: [0.0033095759640686985], Loss: 0.524138
Epoch: [342/484] Iter:[1010/2975], Time: 0.52, lr: [0.0033095052884986077], Loss: 0.522589
Epoch: [342/484] Iter:[1020/2975], Time: 0.52, lr: [0.0033094346127608165], Loss: 0.521265
Epoch: [342/484] Iter:[1030/2975], Time: 0.52, lr: [0.003309363936855321], Loss: 0.522251
Epoch: [342/484] Iter:[1040/2975], Time: 0.52, lr: [0.003309293260782116], Loss: 0.520710
Epoch: [342/484] Iter:[1050/2975], Time: 0.52, lr: [0.0033092225845411977], Loss: 0.519822
Epoch: [342/484] Iter:[1060/2975], Time: 0.52, lr: [0.003309151908132561], Loss: 0.518998
Epoch: [342/484] Iter:[1070/2975], Time: 0.52, lr: [0.0033090812315562023], Loss: 0.520582
Epoch: [342/484] Iter:[1080/2975], Time: 0.52, lr: [0.003309010554812117], Loss: 0.526845
Epoch: [342/484] Iter:[1090/2975], Time: 0.52, lr: [0.0033089398779003014], Loss: 0.526189
Epoch: [342/484] Iter:[1100/2975], Time: 0.52, lr: [0.00330886920082075], Loss: 0.527049
Epoch: [342/484] Iter:[1110/2975], Time: 0.52, lr: [0.003308798523573458], Loss: 0.527154
Epoch: [342/484] Iter:[1120/2975], Time: 0.52, lr: [0.0033087278461584224], Loss: 0.526713
Epoch: [342/484] Iter:[1130/2975], Time: 0.52, lr: [0.0033086571685756383], Loss: 0.524847
Epoch: [342/484] Iter:[1140/2975], Time: 0.52, lr: [0.0033085864908251007], Loss: 0.523310
Epoch: [342/484] Iter:[1150/2975], Time: 0.52, lr: [0.003308515812906806], Loss: 0.524760
Epoch: [342/484] Iter:[1160/2975], Time: 0.52, lr: [0.00330844513482075], Loss: 0.524113
Epoch: [342/484] Iter:[1170/2975], Time: 0.52, lr: [0.0033083744565669277], Loss: 0.522476
Epoch: [342/484] Iter:[1180/2975], Time: 0.52, lr: [0.0033083037781453345], Loss: 0.526360
Epoch: [342/484] Iter:[1190/2975], Time: 0.52, lr: [0.0033082330995559683], Loss: 0.524294
Epoch: [342/484] Iter:[1200/2975], Time: 0.52, lr: [0.0033081624207988215], Loss: 0.522785
Epoch: [342/484] Iter:[1210/2975], Time: 0.52, lr: [0.003308091741873891], Loss: 0.521513
Epoch: [342/484] Iter:[1220/2975], Time: 0.52, lr: [0.0033080210627811726], Loss: 0.520070
Epoch: [342/484] Iter:[1230/2975], Time: 0.52, lr: [0.0033079503835206614], Loss: 0.520330
Epoch: [342/484] Iter:[1240/2975], Time: 0.52, lr: [0.003307879704092354], Loss: 0.519068
Epoch: [342/484] Iter:[1250/2975], Time: 0.52, lr: [0.0033078090244962454], Loss: 0.518102
Epoch: [342/484] Iter:[1260/2975], Time: 0.52, lr: [0.003307738344732331], Loss: 0.518131
Epoch: [342/484] Iter:[1270/2975], Time: 0.52, lr: [0.003307667664800607], Loss: 0.519009
Epoch: [342/484] Iter:[1280/2975], Time: 0.52, lr: [0.0033075969847010684], Loss: 0.518101
Epoch: [342/484] Iter:[1290/2975], Time: 0.52, lr: [0.003307526304433713], Loss: 0.517992
Epoch: [342/484] Iter:[1300/2975], Time: 0.52, lr: [0.0033074556239985325], Loss: 0.518964
Epoch: [342/484] Iter:[1310/2975], Time: 0.52, lr: [0.003307384943395525], Loss: 0.518492
Epoch: [342/484] Iter:[1320/2975], Time: 0.52, lr: [0.003307314262624686], Loss: 0.517279
Epoch: [342/484] Iter:[1330/2975], Time: 0.52, lr: [0.00330724358168601], Loss: 0.515320
Epoch: [342/484] Iter:[1340/2975], Time: 0.52, lr: [0.0033071729005794944], Loss: 0.514599
Epoch: [342/484] Iter:[1350/2975], Time: 0.52, lr: [0.0033071022193051336], Loss: 0.518711
Epoch: [342/484] Iter:[1360/2975], Time: 0.52, lr: [0.003307031537862923], Loss: 0.519988
Epoch: [342/484] Iter:[1370/2975], Time: 0.52, lr: [0.0033069608562528593], Loss: 0.519930
Epoch: [342/484] Iter:[1380/2975], Time: 0.52, lr: [0.003306890174474937], Loss: 0.520611
Epoch: [342/484] Iter:[1390/2975], Time: 0.52, lr: [0.0033068194925291532], Loss: 0.520633
Epoch: [342/484] Iter:[1400/2975], Time: 0.52, lr: [0.003306748810415502], Loss: 0.520814
Epoch: [342/484] Iter:[1410/2975], Time: 0.52, lr: [0.0033066781281339786], Loss: 0.520701
Epoch: [342/484] Iter:[1420/2975], Time: 0.52, lr: [0.00330660744568458], Loss: 0.521107
Epoch: [342/484] Iter:[1430/2975], Time: 0.52, lr: [0.0033065367630673017], Loss: 0.521726
Epoch: [342/484] Iter:[1440/2975], Time: 0.52, lr: [0.003306466080282139], Loss: 0.520160
Epoch: [342/484] Iter:[1450/2975], Time: 0.52, lr: [0.0033063953973290873], Loss: 0.521239
Epoch: [342/484] Iter:[1460/2975], Time: 0.52, lr: [0.003306324714208142], Loss: 0.520857
Epoch: [342/484] Iter:[1470/2975], Time: 0.52, lr: [0.0033062540309192995], Loss: 0.519846
Epoch: [342/484] Iter:[1480/2975], Time: 0.52, lr: [0.0033061833474625547], Loss: 0.519666
Epoch: [342/484] Iter:[1490/2975], Time: 0.52, lr: [0.003306112663837905], Loss: 0.521414
Epoch: [342/484] Iter:[1500/2975], Time: 0.52, lr: [0.0033060419800453435], Loss: 0.520289
Epoch: [342/484] Iter:[1510/2975], Time: 0.52, lr: [0.003305971296084867], Loss: 0.520353
Epoch: [342/484] Iter:[1520/2975], Time: 0.52, lr: [0.0033059006119564704], Loss: 0.519346
Epoch: [342/484] Iter:[1530/2975], Time: 0.52, lr: [0.00330582992766015], Loss: 0.518750
Epoch: [342/484] Iter:[1540/2975], Time: 0.52, lr: [0.0033057592431959015], Loss: 0.519498
Epoch: [342/484] Iter:[1550/2975], Time: 0.52, lr: [0.0033056885585637202], Loss: 0.519190
Epoch: [342/484] Iter:[1560/2975], Time: 0.52, lr: [0.003305617873763602], Loss: 0.519304
Epoch: [342/484] Iter:[1570/2975], Time: 0.52, lr: [0.0033055471887955424], Loss: 0.517574
Epoch: [342/484] Iter:[1580/2975], Time: 0.52, lr: [0.0033054765036595367], Loss: 0.518762
Epoch: [342/484] Iter:[1590/2975], Time: 0.52, lr: [0.003305405818355582], Loss: 0.517744
Epoch: [342/484] Iter:[1600/2975], Time: 0.52, lr: [0.003305335132883672], Loss: 0.516742
Epoch: [342/484] Iter:[1610/2975], Time: 0.52, lr: [0.003305264447243802], Loss: 0.516751
Epoch: [342/484] Iter:[1620/2975], Time: 0.52, lr: [0.003305193761435969], Loss: 0.515834
Epoch: [342/484] Iter:[1630/2975], Time: 0.52, lr: [0.0033051230754601686], Loss: 0.515681
Epoch: [342/484] Iter:[1640/2975], Time: 0.52, lr: [0.0033050523893163953], Loss: 0.515034
Epoch: [342/484] Iter:[1650/2975], Time: 0.52, lr: [0.003304981703004646], Loss: 0.515624
Epoch: [342/484] Iter:[1660/2975], Time: 0.52, lr: [0.0033049110165249153], Loss: 0.514265
Epoch: [342/484] Iter:[1670/2975], Time: 0.52, lr: [0.0033048403298771996], Loss: 0.515542
Epoch: [342/484] Iter:[1680/2975], Time: 0.52, lr: [0.0033047696430614937], Loss: 0.514866
Epoch: [342/484] Iter:[1690/2975], Time: 0.52, lr: [0.003304698956077795], Loss: 0.514334
Epoch: [342/484] Iter:[1700/2975], Time: 0.52, lr: [0.003304628268926097], Loss: 0.513179
Epoch: [342/484] Iter:[1710/2975], Time: 0.52, lr: [0.0033045575816063955], Loss: 0.513343
Epoch: [342/484] Iter:[1720/2975], Time: 0.52, lr: [0.0033044868941186872], Loss: 0.512741
Epoch: [342/484] Iter:[1730/2975], Time: 0.52, lr: [0.0033044162064629666], Loss: 0.512524
Epoch: [342/484] Iter:[1740/2975], Time: 0.52, lr: [0.0033043455186392303], Loss: 0.512539
Epoch: [342/484] Iter:[1750/2975], Time: 0.52, lr: [0.0033042748306474734], Loss: 0.511911
Epoch: [342/484] Iter:[1760/2975], Time: 0.52, lr: [0.0033042041424876916], Loss: 0.511956
Epoch: [342/484] Iter:[1770/2975], Time: 0.52, lr: [0.0033041334541598806], Loss: 0.511023
Epoch: [342/484] Iter:[1780/2975], Time: 0.52, lr: [0.0033040627656640356], Loss: 0.511157
Epoch: [342/484] Iter:[1790/2975], Time: 0.52, lr: [0.003303992077000154], Loss: 0.510860
Epoch: [342/484] Iter:[1800/2975], Time: 0.52, lr: [0.0033039213881682285], Loss: 0.509811
Epoch: [342/484] Iter:[1810/2975], Time: 0.52, lr: [0.003303850699168256], Loss: 0.509664
Epoch: [342/484] Iter:[1820/2975], Time: 0.52, lr: [0.003303780010000233], Loss: 0.510180
Epoch: [342/484] Iter:[1830/2975], Time: 0.52, lr: [0.0033037093206641534], Loss: 0.511796
Epoch: [342/484] Iter:[1840/2975], Time: 0.52, lr: [0.0033036386311600142], Loss: 0.510548
Epoch: [342/484] Iter:[1850/2975], Time: 0.52, lr: [0.0033035679414878108], Loss: 0.511101
Epoch: [342/484] Iter:[1860/2975], Time: 0.52, lr: [0.003303497251647538], Loss: 0.510111
Epoch: [342/484] Iter:[1870/2975], Time: 0.52, lr: [0.003303426561639192], Loss: 0.510134
Epoch: [342/484] Iter:[1880/2975], Time: 0.52, lr: [0.0033033558714627687], Loss: 0.509238
Epoch: [342/484] Iter:[1890/2975], Time: 0.52, lr: [0.0033032851811182645], Loss: 0.508814
Epoch: [342/484] Iter:[1900/2975], Time: 0.52, lr: [0.003303214490605673], Loss: 0.507286
Epoch: [342/484] Iter:[1910/2975], Time: 0.52, lr: [0.00330314379992499], Loss: 0.505754
Epoch: [342/484] Iter:[1920/2975], Time: 0.52, lr: [0.003303073109076212], Loss: 0.505025
Epoch: [342/484] Iter:[1930/2975], Time: 0.52, lr: [0.0033030024180593347], Loss: 0.503586
Epoch: [342/484] Iter:[1940/2975], Time: 0.52, lr: [0.003302931726874353], Loss: 0.503182
Epoch: [342/484] Iter:[1950/2975], Time: 0.52, lr: [0.003302861035521263], Loss: 0.501733
Epoch: [342/484] Iter:[1960/2975], Time: 0.52, lr: [0.0033027903440000605], Loss: 0.500475
Epoch: [342/484] Iter:[1970/2975], Time: 0.52, lr: [0.0033027196523107405], Loss: 0.499445
Epoch: [342/484] Iter:[1980/2975], Time: 0.52, lr: [0.003302648960453299], Loss: 0.501105
Epoch: [342/484] Iter:[1990/2975], Time: 0.52, lr: [0.003302578268427731], Loss: 0.501598
Epoch: [342/484] Iter:[2000/2975], Time: 0.52, lr: [0.0033025075762340345], Loss: 0.503200
Epoch: [342/484] Iter:[2010/2975], Time: 0.52, lr: [0.0033024368838722013], Loss: 0.505631
Epoch: [342/484] Iter:[2020/2975], Time: 0.52, lr: [0.00330236619134223], Loss: 0.505969
Epoch: [342/484] Iter:[2030/2975], Time: 0.52, lr: [0.003302295498644114], Loss: 0.506285
Epoch: [342/484] Iter:[2040/2975], Time: 0.52, lr: [0.00330222480577785], Loss: 0.506211
